seed,n_point,F,bestcp
1,5,0.3496724212137153,"[0.0, 0.4227169069454373, 0.5895020620840481]"
10,5,0.26273952884627744,"[1.0, 0.6138883610359921, 0.5311695453871681]"
100,5,0.29440074837216745,"[0.0, 0.7480286937259553, 0.5015740073630813]"
11,5,0.37454806858785966,"[0.0, 0.5021592091590938, 0.4489960917456721]"
12,5,0.2784402504849228,"[0.0, 0.5464398631696714, 0.5645631535911387]"
13,5,0.31645975350999955,"[1.0, 0.5826751472313618, 0.5846239831347064]"
14,5,0.2678630279706154,"[0.0, 0.6331373954105736, 0.5007398668876059]"
15,5,0.2633864253513833,"[1.0, 0.48414201670825785, 0.683090735784935]"
16,5,0.32000528124773736,"[0.0, 0.4267458202889547, 0.45790591131320846]"
17,5,0.341297919978123,"[1.0, 0.3858240375891985, 0.42816449909360843]"
18,5,0.26220842830124635,"[0.0, 0.6642032633236872, 0.5024371202574918]"
19,5,0.2604475887445118,"[1.0, 0.4990311255160551, 0.5566553089126894]"
2,5,0.33358190920075953,"[1.0, 0.4683243818567153, 0.35504944704024455]"
20,5,0.28569157507569354,"[1.0, 0.45984812065223757, 0.2958112968254487]"
21,5,0.38166739177724607,"[1.0, 0.6560873517444038, 0.4403019037015443]"
22,5,0.3785920065515274,"[0.0, 0.41673202304119017, 0.6063814336878434]"
23,5,0.15312347088566303,"[0.0, 0.5783593242921524, 0.5181753241019371]"
24,5,0.3293929565123822,"[0.0, 0.5977406372616365, 0.3074423124793745]"
25,5,0.2241005040171665,"[0.0, 0.451980342301886, 0.3818275256744177]"
26,5,0.34223421199027615,"[1.0, 0.47786465868206196, 0.4800358338412287]"
27,5,0.2855952021303973,"[0.0, 0.5610644624175171, 0.6179938402140672]"
28,5,0.4131692467502489,"[0.0, 0.5677684396031347, 0.43533168310534076]"
29,5,0.3074242221925491,"[1.0, 0.544560519910445, 0.6429371504854869]"
3,5,0.25262767404476316,"[0.0, 0.5116450272870918, 0.33643108386183496]"
30,5,0.24097331240188383,"[0.0, 0.38734608432139517, 0.5814100616336734]"
31,5,0.21444411923631124,"[1.0, 0.36180225905857366, 0.47596611356273544]"
32,5,0.22248497920197194,"[0.0, 0.6687754042702724, 0.6600679755938986]"
33,5,0.2207891908490711,"[1.0, 0.44238510235877815, 0.32380053450780955]"
34,5,0.24214554962593932,"[1.0, 0.6714326879324926, 0.6274956270889447]"
35,5,0.2526551855456353,"[0.0, 0.28762016167293425, 0.2896409676368613]"
36,5,0.21940897615198793,"[0.0, 0.37437203246515005, 0.41977321126285017]"
37,5,0.4297057345965243,"[0.0, 0.4583294211933332, 0.384648556601927]"
38,5,0.24059681529813653,"[1.0, 0.3559209864878694, 0.505486157243384]"
39,5,0.3653412613425013,"[0.0, 0.47323746268525035, 0.5156359089813172]"
4,5,0.21966817611748823,"[1.0, 0.7842760222170254, 0.6283150439341991]"
40,5,0.24965906185186235,"[1.0, 0.39955170495034464, 0.31284022249792864]"
41,5,0.3173931973993963,"[1.0, 0.648897192558809, 0.6436186009861141]"
42,5,0.32028754509024504,"[0.0, 0.5551980423268247, 0.6339751116810851]"
43,5,0.2965350206428492,"[1.0, 0.5713454260675248, 0.48334962139319915]"
44,5,0.1875440100419435,"[0.0, 0.3831278308783803, 0.704514892740968]"
45,5,0.23293579966466546,"[1.0, 0.7056394327700938, 0.5168638217765055]"
46,5,0.3120762848368137,"[0.0, 0.6074925996741666, 0.41672969108913327]"
47,5,0.35420184349655387,"[1.0, 0.574468752620949, 0.5031601349657646]"
48,5,0.3047818627733192,"[1.0, 0.4571937367058283, 0.37057738390187256]"
49,5,0.37082042387761566,"[0.0, 0.6062265622893178, 0.4252026734468666]"
5,5,0.24146253110842433,"[1.0, 0.40122574799263144, 0.5532500397935409]"
50,5,0.4190733573048118,"[0.0, 0.43782205119907136, 0.5855746381902066]"
51,5,0.22478426278185024,"[1.0, 0.4400156198720878, 0.6388412332199748]"
52,5,0.20514912774338773,"[0.0, 0.4002630063070908, 0.5401994544641469]"
53,5,0.2202167802548997,"[1.0, 0.5142261595627114, 0.6502585000733139]"
54,5,0.3298166931761884,"[0.0, 0.6032334294181423, 0.5703863085571106]"
55,5,0.4226425354508569,"[0.0, 0.35908212347638313, 0.5587979057506938]"
56,5,0.3447657227007632,"[1.0, 0.574187651052727, 0.4828003551980026]"
57,5,0.21189934603355134,"[0.0, 0.5386472777912759, 0.4496256381054595]"
58,5,0.30995067943913523,"[0.0, 0.5341813658754779, 0.5714361310888053]"
59,5,0.22300229588979725,"[1.0, 0.40918845322923125, 0.3932026678468653]"
6,5,0.314914499176315,"[1.0, 0.418342830892918, 0.5427339293852906]"
60,5,0.28378407268840194,"[0.0, 0.4950885397978405, 0.75235352546746]"
61,5,0.22884723163274695,"[1.0, 0.24522258198732305, 0.5382509343636588]"
62,5,0.15381707048111157,"[1.0, 0.5394633745774188, 0.4975102048885749]"
63,5,0.16310626431630315,"[1.0, 0.5300591032808767, 0.2921858500071969]"
64,5,0.29210345043521824,"[0.0, 0.6167738550072687, 0.29125853273510327]"
65,5,0.3014593648784483,"[0.0, 0.5365026034370135, 0.3542901796256427]"
66,5,0.2015379962846157,"[0.0, 0.48541950143483825, 0.6400603078927457]"
67,5,0.2631270498966698,"[0.0, 0.518625986683337, 0.39311686312280125]"
68,5,0.357873270353011,"[1.0, 0.5195730174871392, 0.476613486936456]"
69,5,0.36920313411127564,"[1.0, 0.5557970578613529, 0.6002078640140984]"
7,5,0.3578005152526495,"[1.0, 0.5736411794985231, 0.6387499660221029]"
70,5,0.2275304870753942,"[0.0, 0.3556398118381643, 0.41945814027541317]"
71,5,0.22324665841191224,"[1.0, 0.4549658498452175, 0.5143320831279985]"
72,5,0.3104561510121919,"[0.0, 0.49382728143488297, 0.3961612996161211]"
73,5,0.3577850047193174,"[1.0, 0.5244137638577975, 0.39937956382872]"
74,5,0.2840771251067959,"[1.0, 0.3813513026424141, 0.6369725706243534]"
75,5,0.23734585627892835,"[0.0, 0.6161586750358901, 0.284840439353251]"
76,5,0.20506788028386302,"[1.0, 0.4756546293661946, 0.45756806273209305]"
77,5,0.2863454584640437,"[0.0, 0.5007204488500702, 0.41618015529534025]"
78,5,0.11585949973390101,"[0.0, 0.49926845934815156, 0.7035489782606762]"
79,5,0.31582928752396466,"[1.0, 0.585588642177695, 0.47974219192386736]"
8,5,0.30486539802391033,"[0.0, 0.509974007901371, 0.5650279397645245]"
80,5,0.26177504574330296,"[0.0, 0.5133171335959834, 0.49479975378060315]"
81,5,0.29967834569215657,"[0.0, 0.6410180559502998, 0.4670886279633998]"
82,5,0.25784983697351377,"[0.0, 0.456346732853817, 0.5733590518786496]"
83,5,0.21408308159416067,"[0.0, 0.4644881677265985, 0.3229531122918151]"
84,5,0.09385946402194556,"[0.0, 0.6065371114523465, 0.7950528784700589]"
85,5,0.25062802212961216,"[0.0, 0.2823954551167418, 0.49426267537795987]"
86,5,0.3060514230903087,"[1.0, 0.4579863765786729, 0.5867428565591608]"
87,5,0.3506788183871124,"[1.0, 0.444193280238077, 0.3245745459931385]"
88,5,0.28515098136041683,"[0.0, 0.4014469189272297, 0.424244287775807]"
89,5,0.35383987365490666,"[1.0, 0.522508247077905, 0.4726649110431306]"
9,5,0.386426418569078,"[1.0, 0.5004013271784574, 0.568854340604399]"
90,5,0.4009340615847384,"[0.0, 0.5349581604408159, 0.48533842523388515]"
91,5,0.2321543024937024,"[1.0, 0.5514412193702141, 0.528842138869318]"
92,5,0.31767070504983147,"[1.0, 0.2608190237702922, 0.30060076884477993]"
93,5,0.3569510343518694,"[1.0, 0.5809294596755713, 0.48898142029326885]"
94,5,0.3616466342061357,"[0.0, 0.5046958586245657, 0.5212154075741635]"
95,5,0.39838155318686097,"[1.0, 0.4773102037371605, 0.5572023581461691]"
96,5,0.2951328882155446,"[1.0, 0.5698728814882624, 0.4119696742242752]"
97,5,0.4125255148511614,"[0.0, 0.3402531914473754, 0.5003137631496293]"
98,5,0.411074244839919,"[0.0, 0.41647566793368573, 0.44195193062373195]"
99,5,0.2175866388308977,"[1.0, 0.5944352016949038, 0.25933595527189446]"
