n_point,F,bestcp
5,0.1906688289191237,"[1.0, 0.4790335153981873, 0.5411410533042087]"
5,0.1503910504612979,"[1.0, 0.6229062736921731, 0.4927164798661021]"
5,0.18829624627469366,"[1.0, 0.5230497755258564, 0.5547374324650892]"
5,0.20556628071899488,"[1.0, 0.6753470653233055, 0.43646766971286677]"
5,0.16505687673596314,"[1.0, 0.5571904533793476, 0.6061164859959558]"
5,0.26603504504276276,"[1.0, 0.40364743131212144, 0.559578709086032]"
5,0.17410198240896402,"[1.0, 0.5736411794985231, 0.6387499660221029]"
5,0.1456586772981922,"[0.0, 0.4690401405352419, 0.5935955220716648]"
5,0.19873587935300904,"[1.0, 0.5103146007855149, 0.5565428896545641]"
5,0.2184196927724925,"[1.0, 0.5603660381634941, 0.584373403893107]"
5,0.20502315819477437,"[0.0, 0.4384611833527342, 0.513346280126808]"
5,0.13808234330458263,"[1.0, 0.4536161218532765, 0.46814659094390065]"
5,0.17383310038962332,"[1.0, 0.5689958313452708, 0.521383497740482]"
5,0.18790459244523477,"[2.0, 0.3740879208068295, 0.3651501263610104]"
5,0.20145047971685576,"[1.0, 0.4932933692871426, 0.6331088577020767]"
5,0.20126030933934963,"[0.0, 0.415554923691545, 0.5040800276258016]"
5,0.22572761080040568,"[1.0, 0.5194571140757589, 0.44880209980255137]"
5,0.22338380513563444,"[1.0, 0.5819265423377522, 0.5028455596515591]"
5,0.16840686970813637,"[1.0, 0.5684174844051588, 0.597619983336148]"
5,0.18388205574268934,"[1.0, 0.531509344523759, 0.39244494625500226]"
5,0.2308123668192062,"[1.0, 0.5676991861006694, 0.47245821593856585]"
5,0.16665508964664674,"[1.0, 0.5687650843302691, 0.5019262416662311]"
5,0.18145299777057883,"[1.0, 0.5175180250581711, 0.49533319555879884]"
5,0.19102833211391435,"[1.0, 0.43813391716533645, 0.3842297694378819]"
5,0.25421437283214887,"[1.0, 0.4641561640672591, 0.45755930289915914]"
5,0.197656668852674,"[1.0, 0.5697724338600557, 0.4999282966580678]"
5,0.1937759381071103,"[1.0, 0.4995043206469262, 0.5376177348466897]"
5,0.19211371529034046,"[1.0, 0.5677684396031347, 0.43533168310534076]"
5,0.2084312111670713,"[1.0, 0.5338915126727544, 0.48386139259082106]"
5,0.1636173417633245,"[1.0, 0.503749603568729, 0.4549184499696819]"
5,0.28134558890510236,"[1.0, 0.48899830592563276, 0.5395206334034173]"
5,0.14812368121618072,"[1.0, 0.33599248265861226, 0.4809138778117579]"
5,0.2338905266886629,"[1.0, 0.5178958300050133, 0.3462299619705863]"
5,0.22889628728982836,"[1.0, 0.46867572189863893, 0.605515825972004]"
5,0.20089840677077903,"[1.0, 0.6338952080010747, 0.535203945403919]"
5,0.1609685025803467,"[1.0, 0.39575490047537243, 0.49437685041584667]"
5,0.17896451670551758,"[1.0, 0.4387796484943721, 0.445387929433976]"
5,0.217234063074949,"[1.0, 0.4666110683550835, 0.3523726514031048]"
5,0.21816989507751267,"[1.0, 0.6421793692647125, 0.5095676115435004]"
8,0.20777565676967982,"[1.0, 0.4790335153981873, 0.5411410533042087]"
8,0.19626509175681342,"[1.0, 0.6202724083835623, 0.5040144824015966]"
8,0.2285478347473082,"[1.0, 0.48074700192606445, 0.5362449255698115]"
8,0.2189006467746582,"[1.0, 0.5950272143247003, 0.5253318927429212]"
8,0.17820422449665246,"[1.0, 0.4805010166461464, 0.4547598185825813]"
8,0.1206722902000869,"[1.0, 0.4481332934082989, 0.37477568952094487]"
8,0.18669400083535234,"[1.0, 0.4450763058826466, 0.5045482589579533]"
8,0.186546196861302,"[1.0, 0.5101917823797952, 0.5079668132269012]"
8,0.17108487297649755,"[1.0, 0.5103146007855149, 0.5565428896545641]"
8,0.14771216717588934,"[1.0, 0.445963289937507, 0.6617486565091902]"
8,0.15414270169528985,"[2.0, 0.45489260507941753, 0.4283726025327331]"
8,0.14840912675214277,"[1.0, 0.4786424573732301, 0.4889646982207405]"
8,0.16152011247433323,"[1.0, 0.5594645356105491, 0.4389482531021668]"
8,0.16030209978727597,"[1.0, 0.5667146214676152, 0.33693957936891483]"
8,0.20000473838953958,"[1.0, 0.4404849231038206, 0.5455862123577225]"
8,0.1187638270667229,"[1.0, 0.4267458202889547, 0.45790591131320846]"
8,0.2351188739378044,"[1.0, 0.47384335650314746, 0.5525884678082529]"
8,0.17426658968420303,"[1.0, 0.5065500650281386, 0.4221740755115696]"
8,0.2117776395194386,"[1.0, 0.4479915735235075, 0.46852363334332314]"
8,0.15817403584557377,"[1.0, 0.4187966892844218, 0.38163560715003264]"
8,0.16221118115308422,"[1.0, 0.5676991861006694, 0.47245821593856585]"
8,0.13894336412939837,"[1.0, 0.4466870711625105, 0.5983452301865521]"
8,0.23085077871464132,"[1.0, 0.5175180250581711, 0.49533319555879884]"
8,0.19583784658729184,"[1.0, 0.42382173195943196, 0.4730362926872963]"
8,0.17078511564997254,"[1.0, 0.4641561640672591, 0.45755930289915914]"
8,0.17666011996438602,"[1.0, 0.47786465868206196, 0.4800358338412287]"
8,0.1745524540635307,"[1.0, 0.5505004159860133, 0.5186682274967825]"
8,0.15813546522553074,"[1.0, 0.44008572544671587, 0.5681203042632197]"
8,0.14758663299135302,"[1.0, 0.609770333360748, 0.5775218428996172]"
8,0.2040644552850957,"[1.0, 0.5586245014331807, 0.5693084556810559]"
8,0.16754125916333337,"[1.0, 0.41111645586816437, 0.5167347727274793]"
8,0.2019490402094745,"[1.0, 0.5425562283172191, 0.6012233760065968]"
8,0.23110104908850568,"[1.0, 0.5295950384750391, 0.45695645515384553]"
11,0.17609264472001912,"[1.0, 0.5249946488828098, 0.5426298015540887]"
